review,aspect
"O hotel fica na place de la sorbonne, com cafés e mercadinho ao redor, á noite é bem movimentado. Os quartos são bem pequenos e não tem frigobar, o elevador mau cabe 2 pessoas. O café da manhã é muito fraco, pelo valor da diária poderia ser bem melhor. Não sei se me hospedaria neste hotel novamente, pois estava com criança, e foi muito difícil ficar sem geladeira no quarto.","['elevador', 'frigobar', 'café da manhã', 'hotel', 'quarto']"
"Um bom local para se hospedar ,ótima localização, bem no centro de Porto Alegre.Deixa a desejar no room service, pouca variedade e muito lento o atendimento.Recepção atenciosa, mas um pouco lenta. Café da manhã simples, mas agradável.","['localização', 'atendimento', 'café da manhã', 'recepção']"
"O Distrik é um ótimo hotel. Equipe atenciosa no check in. Pedimos quarto em andar alto e silencioso e fomos atendidos, perdemos uma das chaves e foi reposta sem problemas. Pedimos late checkout e nos deram. A unica coisa que pode melhorar é a reposição do café da manhã no horário de rush. Mas é um ótimo hotel em NYC.","['quarto', 'hotel']"
"O Hotel Mela agradou pelo bom atendimento, instalações modernizadas e limpas, e excepcional localização para o turismo de duração reduzida. Sua localização - 120 West 44thStreet - quase em frente ao Belasco Theater, fica a meio quarteirão de Times Square, oferecendo todas as facilidades para uma programação de espetáculos, gastronômica ou de compras. Quartos com banheiros novos e bom serviço do staff do hotel.","['hotel', 'instalações', 'quarto', 'localização', 'serviço', 'atendimento']"
"O quarto era bom, espaçoso e limpo. O cassino e shows são bem agitados, mas não já nenhum tipo de ruído no quarto, que possa atrapalhar o sono. So que e muito grande! Se você esquecer algo no quarto, leva um bom tempo para voltar buscar. Garagem grátis. Check out Express, mto bom. Boa localização, custo beneficio Vale a pena.","['quarto', 'garagem', 'localização', 'cassino']"
"Fiquei no 3º andar, o quarto era velho, o banheiro tinha azulejo azul de casa de vó, e o box não fechava além de ser de acrílico.Chuveiro não esquenta direito.Quarto com mofo nos tetos e nas paredes e a janela do quarto dava pro depósito de lixo do hotel. Nojento.Não tinha tomada para carregar celular, apenas a tomada da tv e uma tomada no banheiro.Pelo menos as camas tinham lençóis e toalhas limpas. O hall de entrada do prédio é agradável e do lado do elevador tem um poster com fotos de quartos que eu duvido que seja de lá pelo que eu vi no meu. Não aconselho.","['tomada', 'hotel', 'toalha', 'quarto', 'tv', 'chuveiro', 'elevador']"
"Atendendo aos preços em Paris tenho que dizer que este hotel é muito bom. Excelente localização, com restaurantes, metro, supermercados perto. Perto do centro. Hotel tipico de Ibis, quartos pequenos mas confortaveis, a minha casa de banho é que ficava muito a desejar, velha e já com um estado de degradação acentuado. Internet gratuita, pequeno almoco caro. Pessoal bastante atencioso.","['internet', 'localização', 'hotel']"
"Hotel antigo mas conservado, bom quarto, limpo mas algo decadente...  Servico eficiente e profissional. Otima localizacao, com acesso facil ao metro (em frente). Nas costas do Museu do Louvre, ao lado do portao de Richilieu, infelizmente a vista nao correspondeu as expectativas... No geral muito bom, mas caro pelo que oferece... vale pelo conjunto e localizacao... Internet wireless gratuita. Sem estacionamento.","['internet', 'hotel', 'estacionamento']"
"Hotel simples mas confortável. O grande destaque é a localização. Ao atravessar a rua você já está no Port Authority Terminal, um terminal de ônibus suburbano. Além de ônibus para diversos locais da cidade e dos arredores, no terminal tem metrô e diversas lojas de conveniência para café da manhã, drogarias e outras facilidades. O hotel fica somente a três quadras da times Sq.","['localização', 'rua', 'hotel', 'cidade']"
"Hospedei-me em novembro/2012. Gostei muito e sempre que voltar a Paris por lá me hospedarei. EXCELENTE localização, hotel limpo, silencioso, funcionários atenciosos, amáveis, quarto confortável, água sempre quente no banho. O preço - tratando-se de Paris - é muito bom. Recomendo e voltarei a abrigar-me neste hotel na minha próxima ida a Paris, que espero que seja em breve.","['preço', 'quarto', 'localização', 'hotel', 'funcionários']"
"Fiquei num quarto quádruplo, somente para dormir e no outro dia pela manhã ir para o Aeroporto. As instalações do quarto eram um pouco antigas, a roupa de cama (edredon) tinha aspecto de suja. O chuveiro era bastante velho, demorou para conseguir achar o ponto em que ele esquentasse. Quanto ao café da manhã, não deu para usufruir pois começava a ser servido somente às 7h e precisamos sair 6h.","['aeroporto', 'café da manhã', 'quarto', 'instalações', 'chuveiro']"
"Muito simples, apartamentos pequenos, e parecem ter sido decorados por São Francisco pessoalmente, 1 cama, 1 cadeira, 1 mesa, 1 frigo bar, e 1 armário (sem portas, que funciona mesmo como cabideiro). Para piorar as coisas, os 2 únicos elevadores do hotel estavam quebrados e não havia outra escolha, se não usar as escadas. O prédio tem 14 andares. No café da manhã, o bufê é também franciscano (pobre de opções), mas dá pro gasto se você vai ficar uma ou duas noites no hotel.","['hotel', 'escada', 'apartamento', 'elevador', 'café da manhã']"
"Um quarto simples, porém limpo. A única crítica real é quanto ao chuveiro, muito colado a parede, pelo menos no quarto em q eu fiquei (516), era complicado tomar banho dessa forma.    Uma sugestão, notei a presença de vários brasileiros no hotel enquanto fiquei hospedado e quero sugerir um canal de televisão em português, a Globo Internacional. Seria muito bom e um atrativo a mais para vocês.","['televisão', 'chuveiro', 'quarto']"
"O quarto executivo com cama king e muito confortavel, limpo, e apesar do carpete, nao ha cheiro algum de mofo. A reserva foi feita pelo hoteis.com e o check in super rapido. A calefacao nao possui controle individual, mas estava adequada. Localizacao boa, da pra ir andando a restaurantes, teatro, metro... Nao ha talheres no quarto apesar do microondas e cafeteira.. Voltaria com certeza. Recomendo!","['teatro', 'carpete']"
"Passamos 9 dias no hotel e não temos muito do que reclamar. A mobília do quarto precisa ser trocada, pois está um pouco gasta. O banheiro é grande e limpo, só deveria haver um box ou algo que impedisse a água do chuveiro de se espalhar. A localização é ótima, do lado da Times Square e perto de diversas estações de metrô. Ótimo custo-benefício em se tratando de NY.","['hotel', 'chuveiro', 'custo-benefício', 'localização']"
"Estive por 12 dias nesse hotel. Quarto pequeno com banheiro grande para os padroes de paris. Staff amigavel, principalmente o Sr. Otavio. Localizacao muito boa, bem central com metro praticamente na esquina. Achei o quarto bem sujinho e durante os 12 dias que estivemos hospedados nao trocaram nossos lençois. Achei isso horrivel!","['quarto', 'hotel']"
"Gostei muito deste hotel pela localização, no coração de Nova York, na Times Square, próximo de vários restaurantes, lojas,teatros, metrô e etc...  Excelente para se hospedar com a família porque nos quartos há uma cozinha com geladeira, microondas e cafeteira.  A internet no quarto nos atendeu muito bem.","['cozinha', 'quarto', 'teatro', 'cafeteira', 'localização', 'internet', 'família', 'lojas', 'hotel']"
"O melhor pelo custoxbenefício.. o quarto era pequeno, mas pela localização é o melhor que poderíamos encontrar, o Sr. da recepção era muito atencioso e se esforçava em se comunicar conosco, pois como marinheiros de primeira viagem estávamos deslocados no início de nossa estadia, porém nos ajudou com algumas dicas. O café da manhã do hotel era essencial, a cama era excelente... em suma, conseguimos em ultima hora a melhor localização...","['café da manhã', 'recepção', 'localização', 'hotel', 'quarto', 'cama']"
"Perto de tudo,com pizzaria na frente q da para comprar e levar comer no quarto a Sbarro,21 dolares a grande...não tem frigobar e internet é paga se quiser no quarto.Tem metro super perto a uma quadra,e tudo muito facil.....Gasta se do aeroporto de La guardia $45 dolares de taxi...e ate o JFK gastamos 58 .....Mais quarto confortavel,ficamos no 40 andar .","['aeroporto', 'frigobar', 'quarto', 'internet']"
"Estive em janeiro 2013, este hotel e para quem quer (BBB) bom, bonito e barato este é o lugar, localização excelente x preço muito bom, com um bom café da manhã (leite- sucos - pães - frutas - Yorgutes - etc.) mas eu sinceramente achei um pouco apertado, mas se acordar cedo, é mais tranquilo, boa cama, ele tem um closet separada com porta que é muito bom, pois o quarto fica organizado, banheiro tamanho bom.  Room Tip: Eu fiquei no quarto 905 muito bom??????","['quarto', 'café da manhã', 'cama', 'localização', 'preço']"
"Ficamos no quarto com beliche, com banheiro compartilhado e gostamos bastante. O preço é competitivo pela ótima localização. Os ambientes são modernos e novos.  Existe um sistema que mostra qual banheiro está disponível, existem 4 banheiros por andar, nunca precisamos ficar esperando para utilizar. Os banheiros são ótimos, bem melhores que muitos hotéis que ficamos com suíte, o chuveiro é magnifico.  O atendimento poderia ser melhor.","['preço', 'quarto', 'chuveiro']"
"Me hospedei nesse hotel em março de 2012, pegamos um quarto com vista para as Fontes do Bellagio que foi excelente. Quarto limpo, vista perfeita.   Pontos negativos: quase nenhum hotel da strip oferece quarto com frigobar e a decoraçao do nosso quarto tinha fotos da whoopi goldberg no papel do filme mudança de hábito, ou seja, roupas de freira e terços espalhados pelo quarto. creepy!","['frigobar', 'quarto', 'hotel']"
"Ficamos no Ibis Place dItalie em agosto/2011. O quarto é tudo de bom, banheiro todo branquinho, super limpo. Hotel super organizado. Café da manha 7 euros - pães, presunto, queijo, iogurtes, 3 tipos de sucos naturais, quiche de queijo e o melhor de tudo creppe com nuttela. Era um prazer ir tomar o café da manhã.  O Hotel fica muito pertissimo de uma estaçao de metro.","['quarto', 'hotel', 'café da manhã']"
"The Benjamim hotel possui bom atendimento, quarto bem decorado e de tamanho satisfatório . O bar do hotel e excelente, e por si só ja e uma boa opção de entretenimento. Nas proximidades podes encontrar boas opções para café da manha, ja que optamos por estadia sem café , pois este não esta incluso na diária. Uma ótima mini cozinha. Recomendo! Não utilizei nem Spa e nem piscina, mas não consegui desmarcar na avaliação abaixo.","['atendimento', 'quarto', 'hotel', 'cozinha']"
"O quarto basico , nao é melhor que um MGM ou Paris , portanto so vale a pena pegar se for o mesmo preço que esse citados (nao pague a mais )...pois é antigo , andar baixo e virado para os fundos com vista para nada .  Nao cobra resort fee (20 usd/dia) , cafe foi dado credito de 18 Usd por dia para usar na praça de alimentação deles ... e a localização e o shoping são uns dos melhores .","['localização', 'preço']"
"O quarto era pequeno e não tinha TV por assinatura. A roupa de cama também não era nova.O café da manhã era bom, com frutas, iogurte, granola e outras coisas mais.A vantagem em ficar no hotel foi que não pagamos pelo transfer entre Hotel e Aeroporto.","['aeroporto', 'tv', 'quarto', 'hotel', 'café da manhã']"
"Achei que os hoteis IBIS mantivessem um mesmo padrão mas não foi o que vi no neste hotel. As toalhas de banho parecem pano de chão, não há tolha de rosto, não há secador. O serviço do hotel/atendimento é ruim. Solicitamos o serviço despertador pois o vôo de volta ao Brasil era muito cedo mas não adiantou pois o recepcionista esqueceu!! O elevador quebra com frequência. Já ficamos em outro hotel IBIS próximo a região da Galeria Lafayete e foi muito diferente!","['elevador', 'serviço', 'atendimento']"
"Não tem o que falar do Venetian! O hotel é lindo, os quartos são grandes e luxuosos, a piscina tem muito espaço e bom atendimento!  Como é um hotel mega grande, achei que fosse achar um pouco de desorganização, mas não! Para chegar nos quartos é super fácil e tudo é de fácil acesso!  Hotel maravilhoso!","['quarto', 'hotel', 'atendimento', 'piscina']"
"Só tenho coisas boas para falar do hotel. OTIMA localização. limpeza maravilhosa. funcionários amáveis.  trabalho na CVC e com ctz será um hotel que passarei a indicar sempre!   tudo que precisei me ajudaram. sempre dando informações valiosas, explicando com educação.  no ano que vem quando voltar não tenho duvidas que ficarei nesse hotel!  obrigado mais uma vez a equipe do Affinia","['hotel', 'limpeza', 'localização', 'funcionários']"
"O hotel é simples, mas o quarto e as camas são grandes. Tudo muito limpinho e bem arrumado. O café da manhã é simplérrimo, dois tipos de pão, leite e café (mas é um dos poucos hotéis de preço mais barato em NY que oferece esse desjejum). Gostei também da localização! Enfim, recomendo para quem procura um hotel com um bom custo-benefício!","['café da manhã', 'custo-benefício', 'preço', 'hotel', 'localização', 'quarto', 'cama']"
"Pertinho do metro, com um breakfast impecável, com produtos de qualidade e saborosos. O quarto terrivelmente pequeno e desajeitado, difícil para se tomar banho devido ao tamanho. Ótima recepção. O custo-benefício compensou, dentro dos padrões da hotelaria parisiense. Recomendo!  Room Tip: Atente-se para a metragem do ap, procure um com tamanho razoável.","['custo-benefício', 'quarto', 'recepção']"
"Um hotel pequeno com quartos aconchegantes e confortáveis, wi-fi grátis e ótima localização. Dá pra ir a pé aos pontos turísticos mais badalados ou se locomover de metrô, trem ou ônibus para qualquer canto da cidade e região facilmente para quem vai a trabalho. Sem contar que eles oferecem early check-in com a maior tranquilidade.  Room Tip: As suítes com janelas para a frente do hotel mostram uma praça arborizada de um edificio comercial b...","['localização', 'quarto', 'hotel', 'praça']"
"Hotel relativamente perto do Menino Deus (bairro do Shopping Praia de Belas). Quarto bem grande, limpo, mas sem luxo. Colchão bem ruim (muito murcho) e travesseiros ruins também. Banheiro razoável, pois o chuveiro é bem mais ou menos. Café da manhã farto e bem gostoso em alguns dias e em outros, nem tanto. Custo-benefício bacana dependendo de onde você irá frequentar, pois precisará de táxi para se deslocar. Mas, atendentes muito solícitos e educados. GOSTEI!","['shopping', 'custo-benefício', 'quarto', 'café da manhã', 'luxo', 'hotel', 'praia', 'chuveiro']"
"Gostamos da região então a escolha foi perfeita! O hotel atendeu a nossa expectativa, custo benefício, a localização e os arredores do hotel. Os funcionários do Restaurante e do bar foram muito atenciosos. A única coisa que sugerimos é evitar que o hóspede que chega cansado descubra na porta do quarto que sua chave não abre e aí tem que voltar à portaria para ajustar o cartão...","['quarto', 'hotel', 'localização']"
Hotel com ótima localização. Ficamos em quarto especial no 21º andar. Vista cinematográfica do Central Park e muito amplo. Talvez o conjunto do hotel necessitasse de uma reforma para se adequar a modernidade. Serviço simpático. Acesso a Internet só no quarto e pago. Sem café da manhã que em NYC é uma boa opção pois há bons restaurantes com ótimos breakfasts em todas as quadras.,"['internet', 'café da manhã', 'serviço', 'localização', 'quarto', 'hotel']"
"O quarto era antigo, apesar de ter um bom tamanho. Tinha um cheiro estranho. Banheiro espaçoso, porém um pouco velho. Não tinha chuveiro, mas uma banheira com uma ducha de mão. A limpeza não era boa. Não comprei o café da manhã, então não posso opinar sobre. A localização é boa, bem próximo ao metrô. Bem em frente ao hotel tem um restaurante libanês (Assanabel) ótimo.","['hotel', 'localização', 'limpeza', 'ducha', 'banheira', 'café da manhã', 'chuveiro', 'quarto']"
"O Hotel e perto de tudo. Localização em NY é essecial. O quarto e pequeno mas e muito bom, limpo e silencioso. Como tem muitos brasileiros que se hospedam neste hotel, há alguns atendentes que falam um pouco de portugues.  Room Tip: Peça um quarto distante da maquina de refrigerante porque tem pessoas que pegam bebidas a noite toda...","['quarto', 'localização', 'hotel']"
"Excelente recepção.Quarto grande, bem decorado e higienizado.Um bom atendimento, funcionarios educados e prestativos.Muito bem localizado, perto de varios pontos turisticos, como o Museo do Louvre, bons restaurantes, perto da av.Champs Elysées, etc.Gostei de tudo, atendimento, serviço de quarto, café da manha.A unica coisa que deixou a desejar foi o atendimento no restaurante.","['quarto', 'atendimento', 'serviço de quarto', 'recepção', 'serviço']"
"Ficamos hospedamos 4 dias, o hotel é muito bem conservado, possui uma excelente localização, preço muito bom, amplo estacionamento, quarto super amplo e cama confortável. Falta uma reforma nas piscinas, mas mesmo assim são bem agradáveis. O único ponto a desejar foi no primeiro dia que o quarto estava apenas com uma agua e aberta. Recomendado!","['cama', 'estacionamento', 'localização', 'preço', 'quarto', 'hotel']"
"O Mayfair Paris Hotel é um ótimo hotel. A localização é ótima, ao lado da Rue de Rivoli, com fácil acesso ao metro ou taxis. A uma quadra do hotel, está a Rue du Faubourg Saint-Honore, uma das ruas mais chiques de Paris.   O hotel é pequeno, mas muito bem conservado. Nosso quarto era de um tamanho considerável, com espaço para 3 malas abertas. A cama excelente e o banheiro ótimo também, muito amplo e limpo.  Todos funcionários muito cordiais e simpáticos.  Enfim, recomendo este hotel.","['rua', 'funcionários', 'quarto', 'cama', 'localização']"
"Excelente localização, confortável com staff formado por funcionários educadíssimos e atenciosos. A única funcionária menos simpática foi exatamente uma brasileira com o nome de Marília. Em um primeiro momento nos pareceu um tanto o quanto arrogante, melhorando de humor a partir do terceiro dia de estada.  Room Tip: Todos os apartamentos são bons","['funcionários', 'apartamento', 'localização']"
"Quarto pequeno (normal em Paris), mas maior do que eu esperava. Cama e ducha excelentes, o que é extremamente importante para quem passa o dia inteiro andando pela cidade. Banheiro novo. Pessoal simpático. Excesso de cor laranja no quarto, mas isso é irrelevante. Recomendo para quem quer dormir bem e gastar pouco.","['cama', 'ducha', 'cidade']"
"Estive no hotel em maio de 2012. O quarto, apesar de pequeno, era limpo e confortável, com ressalva apenas para o chuveiro, pois era impossível regular o aquecimento da água. Bom atendimento. Permitiram, inclusive, que eu fizesse check in antes do horário, sem custo adicional. Informações úteis na recepção. Boa localização, próximo a Macys e ao Empire State Buiding e a 15 minutos de caminhada da Times Square. Recomendo.","['atendimento', 'chuveiro', 'recepção', 'localização']"
"Passei alguns dias no The Jewel  e indico para qualquer pessoa esse hotel. Localização ótima, serviço impecável. Sempre que chegávamos da rua o quarto estava com um cheirinho de limpeza super agradável. Funcionários extremamentes simpáticos e dispostos a ajudar. Quarto de bom tamanho e chuveiro sem ser estilo americano ( sem aquelas banheiras). De longe o melhor hotel que já fiquei.","['serviço', 'chuveiro', 'funcionários', 'banheira', 'rua', 'hotel', 'quarto', 'limpeza', 'localização']"
"Ótimo hotel, localização privilegiada, o bairro de Upper East Side, é ideal para quem quer curtir a agitação da cidade e mesmo assim ficar em um local tranquilo. As instalações do hotel são muito boas, os quartos limpos e bem cuidados, tudo de primeira. A recepção é impecável, todos sempre solícitos, e prontos para ajudar. Nem mesmo o fato do hotel aceitar animais desabona algo é tudo muito organizado. Recomendo 100% este hotel, tanto para famílias quanto para grupos de amigos.","['quarto', 'recepção', 'hotel', 'localização', 'instalações']"
"O hotel é simples, mas a localização é perfeita, em pleno Quartier Latin, pertinho da Sorbonne e do Panteão. O atendimento dos funcionários também nos agradou muito. Sobre os quartos do hotel não poderei opinar, já que, chegando lá, nos foi oferecida a opção de ficar em um apto em frente ao hotel, o que ótimos. Economizamos muito com alimentação, pois perto do hotel tem um supermercado ótimo: o Monoprix.","['localização', 'funcionários', 'atendimento', 'quarto']"
"Atendimento muito simpático na recepção e por todos os funcionários. Nos sentimos muito bem recebidos.  É bem localizado (perto de duas estações de metrô).   O quarto era pequeno, mas era bom (muito limpo e confortável). Ótimo chuveiro (apesar de pequeno).    Eles disponibilizam um notebook para acesso a internet no salão de entrada.    Ótimo café da manhã!","['café da manhã', 'quarto', 'chuveiro', 'funcionários', 'atendimento', 'recepção']"
"Me hospedei pela segunda vez neste hotel em 2011. O serviço e atendimento continuam excelentes. A localização eh perfeita: próxima a bares, restaurantes e metro. Apesar de nao muito grandes, os quartos e banheiros são modernos, bonitos e bem decorados. Em 2012 viajarei para a Escandinavia com uma parada em Paris, ao final da viagem. Me hospedarei no Cadran uma terceira vez com certeza. Recomendo.","['atendimento', 'localização', 'serviço', 'quarto', 'hotel']"
"Ficamos hospedados por 3 noites com nossos filhos (07 e 02 anos), do dia 13.12.12 a 16.12.12. Hotel de ótima localização, perto de tudo, quartos limpos e organizados, café da manhã de boa qualidade e funcionários muito atenciosos. Metrô ao lado e uma farmácia (Duane Reade) na esquina aberta 24hs, que vende quase de tudo. Para viagem com crianças este hotel é ótima opção.  Room Tip: Ficamos no 29 andar, não há barulho e também não tivemos problemas com os elevadores que funcionavam...","['elevador', 'funcionários', 'farmácia', 'quarto', 'localização', 'hotel', 'café da manhã']"
"Nada a reclamar. Quarto amplo, limpo e bem equipado. Pedi um andar alto e fui atendido. Possuem wifi gratuita e são disponibilizados computadores no lobby do hotel. A equipe é um pouco impessoal, mas bem solícita e educada. O hotel recebeu e armazenou várias compras que fiz no Amazon e não cobrou qualquer taxa. A localização também é excelente, próximo à Times Square.","['hotel', 'localização', 'quarto']"
"Pela localização que eu precisava, para pegar um TGV para Marselhe, perfeito, o quarto que podia ser um pouco maior, mas passa, e tenho que fazer um comentário a respeito de um funcionário, sr João Batista, execelente funcionário muito prestativo, pois mesmo sem falar portugues e espanhol me orientou a respeito do serviço de guarda de bagagens, que funciona muito bem também.","['localização', 'quarto', 'serviço']"
"Muito bom. Bem localizado, perto de tudo. Ótimo atendimento. Não precisei ligar o aquecedor. Mesmo com 0 graus o quarto era quente. O quarto é pequeno, mas só utilizávamos ele pra dormir mesmo. O funcionário Mourad foi excelente e simpático nos ajudando a encontrar os lugares, a transportar as malas e a encontrar um transporte de volta para o aeroporto.","['atendimento', 'quarto']"
"O hotel é bom, limpo, com serviço bacana , internet grátis, mas a localização não é muito boa. No entanto, ele está de frente para a estação de metrô Quai de la Gare e a poucos metros de um mercadinho e de uma padaria, onde se pode tomar café da manhã (o do hotel é pago e achei caro para o que se tinha).  O quarto é bom, banheiro um pouco apertado, mas tudo bem limpo e organizado. A equipe do hotel foi solícita e atenciosa. Recomendo.","['internet', 'serviço', 'hotel', 'localização']"
"Hotel novo, boa localização, atendimento ágil e cortês. Há 5 minutos do Shopping Total.Ponto negativo: o room-service estava fechado. Fomos atendidos pela nutricionista que foi bem atenciosa e rápida.Recomendamos.","['hotel', 'localização', 'shopping', 'atendimento']"
"O hotel fica ao lado da Korea Town, uma rua bem tranqüila com uma praça em frente e a Macys do outro lado, na rua 33 existe uma delegacia de policia o que torna a região bem segura mesmo a noite. A saída do metro é praticamente na porta do hotel (uns 10 metros da entrada). Existem vários locais para tomar Café ao lado do Hotel. Está a uma estação do Times Square e uma rua do Empire State. Quartos amplos e confortáveis.","['hotel', 'quarto', 'rua']"
"Estive a Paris no mês de outubro, e uma cidade magnifica, com um nivel cultural excelente. Fiquei ospedada a um pequeno hotel muito bem localizado ao lado do museu do louvre, museu de orsay, notre dame....com um preço acessivel e uma boa recepçao .o café da manha e servido em uma agradavel sala e assim também e possivel conhecer gente de varias nacionalidades!!!","['cidade', 'museu', 'preço', 'hotel']"
"Muito bom hotel, perto da estação de metro St Lazare, fica localizado perto das principais atrações de Paris para quem gosta de ir caminhando. O café da manhã é bom (pago) e internet bem rápida. O quarto é bem limpo e tem frigobar, janelas que abrem e banheiro limpo e novo. O atendimento sempre foi prestativo mesmo eu não falando francês e inglês. A única coisa é que poderiam colocar pelo menos um atendente que fale espanhol.","['atendimento', 'internet', 'café da manhã', 'hotel']"
"Muito satisfeita com minha escolha de hospedagem no Hotel Aria.   É um hotel mais moderno e contemporâneo, se comparado ao Hotel Wynn por exemplo, que possui arquitetura mais clássica.   Ótima localização, ótimo quarto.   O restaurante do hotel para almoco e café da manha é um espetáculo, e o preço super viável.   Você ainda pode desfrutar das piscinas com dj , estilo louge, Liquid Pool ,que o hotel ofere,super animado com muitos jovens.  . Recomendadísimo.","['localização', 'piscina']"
"Eu e minha esposa estamos muitos satisfeitos com o Hotel Chandler por diversos motivos: Ótima localização, próximo ao Empire State e Broadway; atenção de todos funcionários, sem distinção, em todo o período; quarto muito aconchegante, com chuveiro excelente e itens de conforto de qualidade; limpeza e arrumação dos quartos; custo-benefício insuperável. Ou seja, na nossa próxima viagem a NY, não temos dúvida da nossa escolha de estadia!","['funcionários', 'custo-benefício', 'chuveiro', 'limpeza', 'localização', 'hotel']"
"Padrão Ibis sem maiores surpresas. Boa recepção e acomodação, ficamos no sexto andar com boa acomodação sem surpresa, nossos filhos ficaram no 1o. andar que na verdade seria um subsolo ou -1 onde o teto é baixo dando uma impressão quase claustrofobica. Prefira ficar do 2o. andar para cima. Boa localização, perto de metro e rua tranquila. Vale a pena.","['recepção', 'localização', 'padrão', 'rua']"
"Hotel muito bem localizado com apartamento espaçoso e confortável para 3 adultos.  atendimento cordial e o serviço de quarto com arrumaçao e limpeza adequados.  nos finais de semana, à partir da quinta feira, há o inconveniente das baladas promovidas pelo hotel, atraindo pessoas pouco educadas que provocam muito barulho e confusão no lobby do hotel, além de congestionamento e filas nos elevadores.","['hotel', 'atendimento', 'serviço de quarto', 'limpeza']"
"Hotel luxuoso com ótima estrutura. Recepção e lobby vultuosos. Funcionários educados e prestativos. Quarto amplo, cama king ótima e banheiro bom e limpo! Chuveiro ótimo! Linda vista da cidade! Piscina e quadra de tênis no alto do prédio. Localização é o único ponto negativo, pois fica a 1,7 km da Times Square (à pé) e o metrô mais perto fica linge, + ou - 800 mts.","['quarto', 'hotel', 'funcionários', 'recepção', 'cama', 'chuveiro']"
